SubID	trail	name	own	correct	RT
P001	1	first	0	0	707.22413063
P001	2	first	0	1	550.894021988
P001	3	last	0	1	542.553901672
P001	4	first	0	1	503.130197525
P001	5	first	0	0	502.333879471
P001	6	first	0	1	665.884017944
P001	7	first	0	1	680.125951767
P001	8	first	1	0	517.576932907
P001	9	last	0	1	493.521928787
P001	10	first	0	1	661.010980606
P001	11	last	0	1	631.844043732
P001	12	last	0	0	569.916009903
P001	13	first	0	0	525.923013687
P001	14	last	0	0	542.460918427
P001	15	last	0	1	715.133905411
P001	16	last	0	1	615.019083023
P001	17	first	0	1	591.72296524
P001	18	last	0	0	691.570997238
P001	19	last	0	1	719.957113266
P001	20	last	0	0	713.518857956
P001	21	first	1	1	755.474090576
P001	22	last	0	0	1000.55885315
